"filename", "language", "Markdown", "JSON", "JSON with Comments", "PostCSS", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\autorizacion\registro\registro.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 226, 2, 37, 265
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\autorizacion\registro\registro.component.ts", "TypeScript", 0, 0, 0, 0, 107, 0, 0, 0, 13, 120
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\http.service.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 8, 12, 72
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\Publicar\publicar.component.css", "PostCSS", 0, 0, 0, 234, 0, 0, 0, 12, 39, 285
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\Publicar\publicar.component.html", "HTML", 0, 0, 0, 0, 0, 192, 0, 12, 13, 217
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\Publicar\publicar.component.ts", "TypeScript", 0, 0, 0, 0, 170, 0, 0, 5, 23, 198
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\alquilar-casa\alquilar-casa.component.css", "PostCSS", 0, 0, 0, 217, 0, 0, 0, 2, 82, 301
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\alquilar-casa\alquilar-casa.component.html", "HTML", 0, 0, 0, 0, 0, 58, 0, 0, 43, 101
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\alquilar-casa\alquilar-casa.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\alquilar-casa\alquilar-casa.component.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\configuracion\configuracion.component.html", "HTML", 0, 0, 0, 0, 0, 75, 0, 0, 11, 86
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\configuracion\configuracion.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 374, 4, 60, 438
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\configuracion\configuracion.component.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\dashboard\dashboard.component.css", "PostCSS", 0, 0, 0, 623, 0, 0, 0, 14, 103, 740
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\dashboard\dashboard.component.html", "HTML", 0, 0, 0, 0, 0, 114, 0, 0, 33, 147
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\dashboard\dashboard.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\dashboard\dashboard.component.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 7, 28
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\editarPerfil\editarPerfil.component.html", "HTML", 0, 0, 0, 0, 0, 169, 0, 6, 26, 201
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\editarPerfil\editarPerfil.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 426, 10, 83, 519
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\editarPerfil\editarPerfil.component.ts", "TypeScript", 0, 0, 0, 0, 94, 0, 0, 2, 14, 110
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\fecha.pipe.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\inicio-routing.module.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 1, 3, 36
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\inicio.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 5, 19
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\navbar\navbar.component.css", "PostCSS", 0, 0, 0, 192, 0, 0, 0, 9, 35, 236
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\navbar\navbar.component.html", "HTML", 0, 0, 0, 0, 0, 42, 0, 0, 11, 53
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\navbar\navbar.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\navbar\navbar.component.ts", "TypeScript", 0, 0, 0, 0, 60, 0, 0, 2, 17, 79
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\perfil\perfil.component.css", "PostCSS", 0, 0, 0, 577, 0, 0, 0, 5, 96, 678
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\perfil\perfil.component.html", "HTML", 0, 0, 0, 0, 0, 250, 0, 11, 19, 280
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\perfil\perfil.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\perfil\perfil.component.ts", "TypeScript", 0, 0, 0, 0, 82, 0, 0, 1, 12, 95
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\qn-somos\qn-somos.component.css", "PostCSS", 0, 0, 0, 517, 0, 0, 0, 13, 101, 631
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\qn-somos\qn-somos.component.html", "HTML", 0, 0, 0, 0, 0, 165, 0, 6, 24, 195
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\qn-somos\qn-somos.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\qn-somos\qn-somos.component.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 6, 22
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\interface\usuario.interface.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 3, 3
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\app\localstorage.service.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 0, 5, 37
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\main.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\src\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\tsconfig.app.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 2, 1, 16
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\tsconfig.json", "JSON with Comments", 0, 0, 31, 0, 0, 0, 0, 2, 1, 34
"c:\Users\User\Documents\Nestly_frntd\Desktop\Front\Nestly_front\tsconfig.spec.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 2, 1, 16
"c:\Users\User\Documents\Nestly_frntd\README.md", "Markdown", 20, 0, 0, 0, 0, 0, 0, 0, 8, 28
"Total", "-", 34, 14399, 31, 2613, 1052, 1321, 1026, 165, 1103, 21744
