"filename", "language", "JSON", "JSON with Comments", "TypeScript", "PostCSS", "HTML", "SCSS", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\perfil\perfil.component.ts", "TypeScript", 0, 0, 82, 0, 0, 0, 0, 0, 1, 12, 95
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\qn-somos\qn-somos.component.css", "PostCSS", 0, 0, 0, 515, 0, 0, 0, 0, 13, 101, 629
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\qn-somos\qn-somos.component.html", "HTML", 0, 0, 0, 0, 167, 0, 0, 0, 5, 8, 180
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\qn-somos\qn-somos.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\inicio\qn-somos\qn-somos.component.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\interface\usuario.interface.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\app\localstorage.service.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\index.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\main.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\src\styles.css", "PostCSS", 0, 0, 0, 9, 0, 0, 0, 0, 1, 2, 12
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 1, 0, 12
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\tsconfig.app.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 2, 1, 16
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\tsconfig.json", "JSON with Comments", 0, 31, 0, 0, 0, 0, 0, 0, 2, 1, 34
"c:\Users\roble\Documents\ITSES\9no cuatri\Ingenieria en sistemas III\Nestly_frntd\Desktop\Front\Nestly_front\tsconfig.spec.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 2, 1, 16
"Total", "-", 14933, 31, 1092, 2387, 1407, 1025, 11, 14, 172, 1065, 22137
